term_id,standard_term,synonyms,category,definition,source_doc,source_location,evidence_snippet,confidence_score,diff_status,review_status,reviewer_note
AD-0001,KOBACO,코바코|한국방송광고진흥공사,매체/사업자,지상파 방송광고의 판매 대행 업무 및 방송광고 거래 인프라를 전담 운영하는 공공기관.,2025 영업실무핸드북.pdf,p.2 / chunk_02,KOBACO 대행매체 현황... 지상파 방송 채널 판매대행,0.98,신규,보류,중요도 1위 | 핵심 대행기관
AD-0002,코바넷,KOBAnet|코바네트|방송광고 전자상거래 시스템,시스템/플랫폼,"광고회사의 방송광고 신청부터 공사 영업사원 확인, 방송사 업무연락까지 전 과정을 온라인으로 처리하는 전자상거래 시스템.",2025 영업실무핸드북.pdf,p.48 / chunk_48,"광고회사의 방송광고신청부터 공사영업사원 확인, 방송사 업무연락까지의 업무 프로세스를 On-Line 으로 처리하기 위한 방송광고 전자상거래 시스템",0.96,신규,보류,중요도 2위 | Section 10.3 경계사례 기준 적용 (시스템/플랫폼)
AD-0003,KODEX,코덱스|방송광고소재전송시스템,시스템/플랫폼,방송광고 청약을 위해 필요한 디지털 광고 소재(CF)를 온라인 네트워크를 통해 방송사에 실시간으로 전달하는 유통 시스템.,2025 영업실무핸드북.pdf,p.60 / chunk_60,방송광고 청약을 위해 반드시 필요한 광고소재(CF)를 온라인 네트워크를 활용 실시간으로 방송사에 전달하는 광고소재 디지털 유통시스템,0.96,신규,보류,중요도 3위 | 디지털 소재 유통 망
AD-0004,결합판매,방송광고 결합판매|결합판매제도,판매방식,네트워크 지역지상파방송사업자 및 중소지상파 방송사업자의 방송광고를 주 지상파방송사업자의 방송광고와 묶어서 지정 비율 이상 판매하도록 지원하는 제도.,2025 영업실무핸드북.pdf,p.28 / chunk_28,KOBACO는 네트워크 지역지상파방송사업자 및 중소지상파 방송사업자의 방송광고를 다른 지상파방송사업자의 방송광고와 결합하여 판매하여야 함,0.95,신규,보류,중요도 4위 | 법정 판매제도
AD-0005,대행수수료,방송광고 대행수수료|광고대행 수수료,수수료/정산,"방송광고 판매 수탁수수료 중 일정 비율(지상파 TV 13.5%, 라디오 13.6% 등)을 미디어렙사가 광고회사에 지급하는 수수료.",2025 영업실무핸드북.pdf,p.10 / chunk_10,미디어렙사는 수탁수수료의 100분의 70 이상을 광고회사에 대행수수료로 지급하여야 함,0.97,신규,보류,중요도 5위 | 광고회사 수익 정산
AD-0006,불방,방송불방|광고불방,사고/예외처리,"방송사나 공사의 착오, 편집 오류, 편성 변경 등의 사유로 인하여 계약된 방송광고의 일부 또는 전부가 송출되지 아니한 상태.",2025 영업실무핸드북.pdf,p.30 / chunk_30,공사의 영업대행 수행중 공사 또는 방송국의 착오로 방송광고의 일부 또는 전부가 방송되지 않은 경우에는 광고요금을 청구하지 않음,0.94,신규,보류,중요도 6위 | 핵심 운행 사고
AD-0007,Upfront,업프론트|장기물 판매,판매방식,3개월 이상의 장기 단위로 방송광고 패키지를 사전에 판매하여 판매자와 구매자가 안정적으로 구좌를 확보하고 거래하는 판매 방식.,2025 영업실무핸드북.pdf,p.27 / chunk_27,3개월 이상 장기물로 광고패키지를 판매하여 판매자와 구매자가 안정적으로 거래하는 판매방식,0.95,신규,보류,중요도 7위 | 연간/장기 거래
AD-0008,토막광고,SB|Station Break|토막 광고,광고상품/편성유형,방송프로그램과 방송프로그램 사이(종료타이틀 고지 후 다음 프로그램 시작타이틀 고지 전)에 편성되어 운행되는 광고.,2025 영업실무핸드북.pdf,p.4 / chunk_04,방송프로그램과 방송프로그램 사이(방송프로그램 종료타이틀 고지 후부터 다음 프로그램 시작타이틀 고지 전까지)에 편성되는 광고,0.98,신규,보류,중요도 8위 | 대표 방송광고 유형
AD-0009,가청약,가청약 데이터|가청약 처리,영업 프로세스,코바넷에서 청약 신청 입력 후 방송사 발송 및 신탁변환 처리 전까지 공사 영업사원의 확인·결재를 기다리는 임시 청약 상태.,2025 영업실무핸드북.pdf,p.58 / chunk_58,코바넷에서 처리되어 신탁변환 처리 전까지 데이터를 가청약 데이터로 구분... 영업 신속성을 지원하기 위해 가청약 데이터 형태로 처리,0.92,신규,보류,중요도 9위 | Section 10.3 경계사례 기준 적용 (영업 프로세스)
AD-0010,시급,방송시급|시급체계|시급구분,요금/시급체계,"방송 시간대별 시청률 및 청취 패턴을 감안하여 광고 요금을 차등 산정하기 위해 SA, A, B, C 등으로 구분한 요금 등급 체계.",2025 영업실무핸드북.pdf,p.5 / chunk_05,지상파 방송광고 시급... 평일/주말 및 시간대별 SA A B C 시급 구분,0.94,신규,보류,중요도 10위 | 단가 결정 체계
